tree,group,Early_period,Late_period,diff,mat,map,maa,lat,lon,spp,fixer,lifeform,prediff,aidiff,tmpdiff
108 _XX_ BIO,g,-1.1514329025458248,0.4338232832827497,1.5852561858285745,13.937692565184372,73.62359098595304,0.8854687377572461,43.92,7.76,Pinus sylvestris,n,e,2.368581773041484,-0.03448377865773844,1.0513486466803208
174 _XX_ brcy,a,-1.133910729763334,10.533949447171503,11.667860176934838,25.174231152656752,211.2580798876591,2.3766115394318144,5.217,9.1,Brachystegia cynometroides*,y,d,-33.52224656708387,-0.42371259135142614,0.18861229487828268
064 _XX_ bro,a,-3.327688313868292,-0.6740272213760073,2.6536610924922845,4.967948810431437,48.653462374516025,1.1967392831265038,60,23.08,Quercus robur,n,d,1.6357140262405565,-0.03276660184564617,0.5149350771075731
174 _XX_ caia,a,0.9448762108976108,0.06376121131664456,-0.8811149995809662,24.89448755215376,96.62615520306504,0.7580803518798361,-15.833,-62.85,Cariniana ianeirensis,n,NA,9.209705932940523,0.08362284228354877,-0.3200957519260079
176 _XX_ Callitris columaris,g,1.2984008256132815,-1.6556437366656578,-2.9540445622789395,24.599487563891287,28.99615440296057,0.16038140824597608,-22.851,117.628,Callitris columaris,n,e,13.661791047966208,0.06577006290932508,0.10478486578022839
026 _XX_ caprpr,g,-0.8207097998625692,-2.0525829017807653,-1.231873101918196,16.289615654334042,29.43538511682015,0.252517643990355,-33.094,118.736,Callitris preissii,n,e,0.9838094418653043,0.0035992476808767715,0.34857147502250285
064 _XX_ cav,a,1.0996746594415074,-0.17386004049225753,-1.273534699933765,4.93858982521372,154.5641052539532,3.269435615614895,46.35,8.6,Quercus petraea,n,d,13.003785750513686,0.042325395341525685,0.7034187635295392
163 _XX_ Cedrela odorata,a,0.23907240688748607,0.2766155101061427,0.03754310321865664,25.077564503596378,203.6485929687818,1.8316743517922505,-12.618,-69.183,Cedrela odorata,n,d,15.538230480790958,0.20515456245436114,0.10000000000000142
135 _XX_ Cermis,g,-0.5375458289080511,0.833437614220136,1.370983443128187,5.251923158688423,108.2898736391312,2.461849157244409,46.25,11.495,Picea abies,n,e,5.402416279085543,-0.08071921150800976,0.8532562901367662
108 _XX_ CFI,a,-2.2401061865872163,-2.6276909551469534,-0.3875847685597371,13.581154094903898,58.44974453533307,0.7073914417030196,41.81,2.38,Quercus petraea,n,d,-11.364625912945286,-0.15616757805684667,0.9928570896589832
180 _XX_ ch,a,-1.414625099265491,-2.4286628989315027,-1.0140377996660117,6.902179596152825,68.30794981032228,0.7637933017178827,-41.25,-71.28,Nothofagus pumilio,n,d,4.044403255068751,0.033288935773186534,0.11017312012709546
101 _XX_ CHO,g,-2.0153808965627245,-0.6239770442554862,1.3914038523072383,-13.82551302415056,16.787692602876668,0.7082810021280466,70.55,148.25,Larix gmelinii,n,d,-2.9750680937248006,-0.09305652877999127,0.9907824089281816
067 _XX_ Coastal range,g,-0.4715880352974072,-1.554511739462078,-1.0829237041646707,9.506025785666246,133.898976679643,2.0003144726127595,-41.533,-72.58,Fitzroya cupressoides,n,e,9.035714636530187,0.10152244043427883,0.04978255277835153
107 _XX_ Cryptomeria fortunei,g,0.6040192804516887,-2.2060820889150503,-2.810101369366739,14.163205391884995,118.08423286915207,1.6513391579492347,30.417,119.417,Cryptomeria fortunei,n,e,-7.403175105825483,-0.18932564772659188,0.5712196637713731
108 _XX_ CUE,g,-1.118749760104491,-0.7869703377904,0.33177942231409085,13.208589978707142,73.30897558108927,0.8795018629530127,43.89,7.06,Pinus sylvestris,n,e,1.496153732637083,-0.04841695934186352,1.0930070305442214
174 _XX_ daog,a,2.4925312393190042,9.09186835383938,6.5993371145203765,25.174231152656752,211.2580798876591,2.3766115394318144,5.217,9.1,Daniellia ogea*,y,d,-31.124892296729115,-0.3803782479239932,0.10465368460783253
179 _XX_ davan,g,-1.8374693806912143,-4.8833767858320325,-3.0459074051408184,-8.785128372076612,36.45910322941267,0.8883217674384819,55.85,108.917,Larix sibirica,n,d,1.854545828841978,0.0012648593627877514,1.019697000050828
108 _XX_ DOL,a,1.002151645809325,2.857668256054702,1.8555166102453773,8.193846298878391,140.91654077936442,2.488817220001663,45.75,14.03,Quercus petraea,n,d,4.5588908029364745,-0.053761829165309916,0.840909089003647
064 _XX_ dra,a,-0.7666383289546685,0.2388443596792705,1.005482688633939,8.09423090923482,61.34423181735552,1.2587344156667082,51.5,9.78,Quercus petraea,n,d,-1.335416825754308,-0.08711114487383731,0.9247023661931362
059 _XX_ Elgeeii,g,-2.175973132131272,-3.1060100905254395,-0.9300369583941674,-9.396538647932884,27.55705174941283,0.7343290353051886,60,133.817,Larix cajanderi,n,d,-0.1234454453492404,-0.012038396650636773,1.1133612737435241
167 _XX_ Eusideroxylon zwageri,a,0.27748116988073407,0.03273386415198398,-0.2447473057287501,24.49717986033513,230.53397871897772,2.557652770552662,5.883,117.083,Eusideroxylon zwageri,n,e,-6.894243137970648,-0.09188662841896367,0.5418613739343954
149 _XX_ Fagus sylvatica,a,-1.923559274218619,0.8833592584912677,2.8069185327098864,16.156025923826757,64.04923194547494,0.776890855463607,40.816,14.433,Fagus sylvatica,n,d,1.385265327446703,-0.006462541625964269,0.8759740978092339
035 _XX_ Fagus sylvatica,a,-2.0673200975266592,-3.7826965017015937,-1.7153764041749344,8.547564272429698,45.48935978160455,0.8853638135213592,51.09,10.52,Fagus sylvatica,n,d,-5.404974348691049,-0.11404454760664728,0.6506377361258657
103 _XX_ famfp,a,-2.4750714840146757,1.508823367858724,3.9838948518733996,-0.03910257155314469,146.69295106851138,3.94269562670142,46.067,10.934,Fagus sylvatica,n,d,9.577273464822127,-0.09795878953708925,0.9233766509727999
106 _XX_ Fitzroya cupressoides,g,-0.941056653042498,-1.937097689767203,-0.996041036724705,6.170000120319235,89.78423238465419,1.0598020388965517,-41.158,-71.78,Fitzroya cupressoides,n,e,4.283766263491145,0.039674735339636,0.01818179000507847
108 _XX_ FOS,a,-2.559900740933992,-2.096752308581934,0.4631484323520576,10.442692507020174,43.42743668968861,0.624386131370743,45.8,27.02,Quercus petraea,n,d,-0.23646338669570355,-0.01790693606480287,0.5349151044935105
101 _XX_ FSM,g,-4.382012886182035,-0.9433232591130928,3.438689627068942,-2.8652564609757603,28.868077428065813,0.6819346735725459,60.016,-112.016,Picea glauca,n,e,5.1899998557667715,0.0444535519390894,0.7945798989823638
086 _XX_ GA,g,-1.1965969918056265,-1.301228305903082,-0.10463131409745552,8.498205291623107,81.36923233209512,1.0626253526850018,42.867,-0.8,Abies alba,n,e,-0.5666044505938572,-0.06366361029378453,0.9196659855143707
064 _XX_ gut,g,-3.622409649451336,-1.943239037006976,1.67917061244436,-0.11576922320020504,56.84961624970803,1.6377817385334057,62,12.18,Pinus sylvestris,n,e,-1.378331430533649,-0.11904297787832263,0.4447779374382721
099 _XX_ HS sylvestris,g,-1.7917564491812463,-2.3846819727897475,-0.5929255236085011,9.781666859678731,46.56589823930692,0.5164650122799957,40.391,-0.663,Pinus sylvestris,n,e,-3.154847093990867,-0.04905380896096445,1.1295918207995737
099 _XX_ HS uncinata,g,-0.6345806822538762,-3.0961969510844125,-2.4616162688305363,9.781666859678731,46.56589823930692,0.5164650122799957,40.391,-0.663,Pinus uncinata,n,e,-9.880119191464921,-0.1128618555317582,1.3326785510494599
064 _XX_ ilo,g,-2.256482767192308,-1.6501142829845463,0.6063684842077617,2.513461583508895,49.74500085268265,1.2811223627486572,62.98,30.98,Pinus sylvestris,n,e,-1.364542467166217,-0.05439202661895359,0.6038095196033577
101 _XX_ INU,g,-1.209240749683346,-0.05241408454040008,1.156826665142946,-9.769230934203817,16.437820758899818,0.6409568889997693,68.5,-133.483,Picea mariana,n,e,-0.1369830499634226,-0.04619866729374067,1.2339755247655164
036 _XX_ jebediah smith,g,0.03993946516824059,-0.6699014880328507,-0.7098409532010912,11.77230791403697,113.0916688460379,1.628295465540503,41.784,-124.068,Sequoia semperevirens,n,e,-0.11207786298546552,-0.014907841333640037,0.49303038811787303
046 _XX_ Juniperu virginiata,g,-0.1267646857687871,-1.1956594786911174,-1.0688947929223303,10.39102583545714,90.63679661017198,1.251044135563974,38.883,-79.236,Juniperu virginiata,n,e,7.777142543297316,0.12659511591206551,0.020194815350819795
105 _XX_ jupo,g,-1.3183909996336682,-3.9364413587122623e-4,1.317997355497797,13.436795096691602,17.648205435132752,0.1641596865421764,36.668,54.533,Juniperous polycarpus,n,e,-1.5839735680938425,-0.01090157994731436,1.1281513206097245
101 _XX_ KAL,g,-0.6967889402502012,-2.7867136354339537,-2.0899246951837522,5.042820604661336,51.86000083990586,1.1704425515084,59.267,27.3,Pinus sylvestris,n,e,1.9976871172586996,-0.02924418503125703,0.6398639562178641
112 _XX_ KEDN-H,g,0.972991341149047,0.07303695197069338,-0.8999543891783536,4.896794982015704,15.940128471912482,0.20231616849361003,43.117,82.41,Picea schrenkiana,n,e,0.9776719707660568,-0.0016844860495163205,1.2634920925059667
