year,SPEI_mean,tree,lat,lon
1979,0.4802743537085397,002 _XX_ Abies alba,46.91,6.79
1980,0.9521433753626687,002 _XX_ Abies alba,46.91,6.79
1981,0.6571153040443148,002 _XX_ Abies alba,46.91,6.79
1982,0.19378529701914107,002 _XX_ Abies alba,46.91,6.79
1983,1.128460246603936,002 _XX_ Abies alba,46.91,6.79
1984,-0.2883772999048233,002 _XX_ Abies alba,46.91,6.79
1985,0.8025690828050885,002 _XX_ Abies alba,46.91,6.79
1986,0.7410413197108677,002 _XX_ Abies alba,46.91,6.79
1987,1.3375520344291414,002 _XX_ Abies alba,46.91,6.79
1988,0.8505294237818036,002 _XX_ Abies alba,46.91,6.79
1989,-0.8113293381673949,002 _XX_ Abies alba,46.91,6.79
1990,0.12047840441976275,002 _XX_ Abies alba,46.91,6.79
1991,-0.9684641361236572,002 _XX_ Abies alba,46.91,6.79
1992,-0.12684231461025774,002 _XX_ Abies alba,46.91,6.79
1993,-0.022365308233669827,002 _XX_ Abies alba,46.91,6.79
1994,0.5280451348849705,002 _XX_ Abies alba,46.91,6.79
1995,1.1477528193167277,002 _XX_ Abies alba,46.91,6.79
1996,-0.8116616351263863,002 _XX_ Abies alba,46.91,6.79
1997,-0.17632898635097913,002 _XX_ Abies alba,46.91,6.79
1998,-0.3095800844686372,002 _XX_ Abies alba,46.91,6.79
1999,1.5060929911477225,002 _XX_ Abies alba,46.91,6.79
2000,-0.2068473824432918,002 _XX_ Abies alba,46.91,6.79
2001,1.317458419927529,002 _XX_ Abies alba,46.91,6.79
2002,0.0028981012957436697,002 _XX_ Abies alba,46.91,6.79
2003,-1.5156026418719972,002 _XX_ Abies alba,46.91,6.79
2004,-0.44758673331567217,002 _XX_ Abies alba,46.91,6.79
2005,-0.46052377192037447,002 _XX_ Abies alba,46.91,6.79
2006,1.0318630167416163,002 _XX_ Abies alba,46.91,6.79
2007,1.152627216918128,002 _XX_ Abies alba,46.91,6.79
2008,0.2395936037812914,002 _XX_ Abies alba,46.91,6.79
2009,-1.0047030661787306,002 _XX_ Abies alba,46.91,6.79
2010,-0.20519773050078324,002 _XX_ Abies alba,46.91,6.79
2011,-1.5953671336174011,002 _XX_ Abies alba,46.91,6.79
